Designator,Mid X,Mid Y,Rotation,Layer
C101,159.88,-64.389,180.0,bottom
C102,156.845,-63.767,90.0,bottom
C103,154.546,-71.755,0.0,bottom
D101,165.8383,-66.0163,225.0,bottom
D102,171.2722,-76.8604,180.0,bottom
D103,141.351,-71.8312,0.0,bottom
IC101,161.25,-80.5144,0.0,bottom
IC102,171.7333,-94.1766,180.0,bottom
IC103,169.4856,-111.25,180.0,bottom
IC104,155.8234,-121.7333,180.0,bottom
IC105,138.75,-119.4856,180.0,bottom
IC106,128.2667,-105.8234,180.0,bottom
IC107,130.5144,-88.75,180.0,bottom
IC108,144.1766,-78.2667,180.0,bottom
IC109,164.5,-74.8853,90.0,bottom
IC110,176.4928,-88.2046,180.0,bottom
IC111,178.3663,-106.0294,180.0,bottom
IC112,169.4048,-121.5512,180.0,bottom
IC113,153.0313,-128.8411,180.0,bottom
IC114,135.5,-125.1147,180.0,bottom
IC115,123.5072,-111.7954,180.0,bottom
IC116,121.6337,-93.9706,0.0,bottom
IC117,130.5952,-78.4488,0.0,bottom
IC118,146.9687,-71.1589,180.0,bottom
IC119,161.6287,-68.0505,180.0,bottom
IC120,176.0455,-78.1452,0.0,bottom
IC121,183.4835,-94.096,0.0,bottom
IC122,181.9495,-111.6287,180.0,bottom
IC123,171.8548,-126.0455,90.0,bottom
IC124,155.904,-133.4835,180.0,bottom
IC125,138.3713,-131.9495,180.0,bottom
IC126,123.9545,-121.8548,180.0,bottom
IC127,116.5165,-105.904,180.0,bottom
IC128,118.0505,-88.3713,180.0,bottom
IC129,128.1452,-73.9545,180.0,bottom
IC130,144.096,-66.516,180.0,bottom
IC131,154.603,-68.199,180.0,bottom
LED101,150.0,-76.8,180.0,top
LED102,154.5261,-77.2458,169.0,top
LED103,158.8783,-78.566,158.0,top
LED104,162.8892,-80.7099,146.0,top
LED105,166.4049,-83.5951,135.0,top
LED106,169.2901,-87.1108,124.0,top
LED107,171.434,-91.1217,113.0,top
LED108,172.7542,-95.4739,101.0,top
LED109,173.2,-100.0,90.0,top
LED110,172.7542,-104.5261,79.0,top
LED111,171.434,-108.8783,68.0,top
LED112,169.2901,-112.8892,56.0,top
LED113,166.4049,-116.4049,45.0,top
LED114,162.8892,-119.2901,34.0,top
LED115,158.8783,-121.434,23.0,top
LED116,154.5261,-122.7542,11.0,top
LED117,150.0,-123.2,0.0,top
LED118,145.4739,-122.7542,349.0,top
LED119,141.1217,-121.434,338.0,top
LED120,137.1108,-119.2901,326.0,top
LED121,133.5951,-116.4049,315.0,top
LED122,130.7099,-112.8892,304.0,top
LED123,128.566,-108.8783,293.0,top
LED124,127.2458,-104.5261,281.0,top
LED125,126.8,-100.0,270.0,top
LED126,127.2458,-95.4739,259.0,top
LED127,128.566,-91.1217,248.0,top
LED128,130.7099,-87.1108,236.0,top
LED129,133.5951,-83.5951,225.0,top
LED130,137.1108,-80.7099,214.0,top
LED131,141.1217,-78.566,203.0,top
LED132,145.4739,-77.2458,191.0,top
LED133,150.0,-72.0,180.0,top
LED134,154.3802,-72.3447,171.0,top
LED135,158.6525,-73.3704,162.0,top
LED136,162.7117,-75.0518,153.0,top
LED137,166.458,-77.3475,144.0,top
LED138,169.799,-80.201,135.0,top
LED139,172.6525,-83.542,126.0,top
LED140,174.9482,-87.2883,117.0,top
LED141,176.6296,-91.3475,108.0,top
LED142,177.6553,-95.6198,99.0,top
LED143,178.0,-100.0,90.0,top
LED144,177.6553,-104.3802,81.0,top
LED145,176.6296,-108.6525,72.0,top
LED146,174.9482,-112.7117,63.0,top
LED147,172.6525,-116.458,54.0,top
LED148,169.799,-119.799,45.0,top
LED149,166.458,-122.6525,36.0,top
LED150,162.7117,-124.9482,27.0,top
LED151,158.6525,-126.6296,18.0,top
